# Plan de cuentas de CADINC exportado de Finnegans (lo mandó el estudio contable, 24/09/2026).
# Códigos convertidos a formato con puntos: 1110101 -> 1.1.1.01.01 (segmentos 1-1-1-2-2). La 4 «RESULTADO DEL PERIODO» es rubro resultado (título).
codigo;nombre;rubro;imputable;auxiliar
1.2.2.02.03;Amortizaciones Acumuladas - Maquinarias y Eq.;activo;SI;
1.2.2.03;MUEBLES Y UTILES;activo;NO;
1.2.2.03.01;Muebles y utiles Valores de Origen;activo;SI;
1.2.2.03.02;Muebles y utiles Actualizaciones;activo;SI;
1.2.2.03.03;Amortizaciones Acumuladas M. y Utiles;activo;SI;
1.2.2.04;RODADOS;activo;NO;
1.2.2.04.01;Rodados Valores Originales;activo;SI;
1.2.2.04.02;Rodados Actualizaciones;activo;SI;
1.2.2.04.03;Amortizac. Acumuladas Rodados;activo;SI;
1.2.2.07;TERRENOS;activo;NO;
1.2.2.07.01;Terrenos valores originales;activo;SI;
1.2.2.07.02;Terrenos Actualizaciones;activo;SI;
1.2.2.08;INSTALACIONES;activo;NO;
1.2.2.08.01;Instalaciones Valores Originales;activo;SI;
1.2.2.08.02;Instalaciones Ajuste;activo;SI;
1.2.2.08.03;Amortizaciones Acumuladas Instalaciones;activo;SI;
1.2.2.09;HERRAMIENTAS;activo;NO;
1.2.2.09.01;Herramientas valores originales;activo;SI;
1.2.2.09.02;Herramientas Ajuste;activo;SI;
1.2.2.09.03;Amortizaciones acumuladas herramientas;activo;SI;
1.2.3;ACTIVOS INTANGIBLES;activo;NO;
1.2.3.01;MARCAS Y PATENTES;activo;NO;
1.2.3.01.01;Marcas y Patentes Valores Originales;activo;SI;
1.2.3.01.02;Marcas y Patentes Actualizaciones;activo;SI;
1.2.3.01.03;Amortizaciones Acumuladas - Marcas y Patentes;activo;SI;
1.2.4;CRÉDITOS POR VENTAS NO CORRIENTES;activo;NO;
1.2.4.01;Deudores Locales (No Ctes.);activo;SI;
1.2.4.02;Deudores del Exterior (No Ctes.);activo;SI;
1.2.4.03;Doc. a cobrar por ventas (No Ctes.);activo;SI;
1.2.5;OTROS CRÉDITOS NO CORRIENTES;activo;NO;
1.2.5.01;CRÉDITOS IMPOSITIVOS NO CORRIENTES;activo;NO;
1.2.5.01.01;Activos por Impto. Diferido (No Ctes.);activo;SI;
1.2.5.01.02;Créditos por Quebrantos Impos. No utiliz (No Ctes.;activo;SI;
1.2.5.02;CRÉDITOS DIVERSOS NO CORRIENTES;activo;NO;
1.2.5.02.01;Cuentas Particulares Directores (No Ctes.);activo;SI;
1.2.5.02.02;Cuentas Particulares Accionistas (No Ctes.);activo;SI;
1.2.6;BIENES DE CAMBIO NO CORRIENTES;activo;NO;
1.2.6.01;MERCADERÍAS;activo;NO;
1.2.6.01.01;Mercaderías (No Ctes.);activo;SI;
1.2.6.02;MATERIALES DE CONSTRUCCIÓN;activo;NO;
1.2.6.02.01;Alambres (No Cte.);activo;SI;
1.2.6.02.02;Fierro (No Ctes.);activo;SI;
1.2.6.02.03;Cemento (No Ctes.);activo;SI;
1.2.6.02.04;Ladrillos (No Ctes.);activo;SI;
1.2.6.02.05;Materiales y respuiestos;activo;SI;
1.2.6.02.06;Mat. p/ la instal de agua y desagüe (No Ctes.);activo;SI;
1.2.6.02.07;Materiales de Carpintería (No Ctes.);activo;SI;
1.2.6.03;SUMINISTROS DIVERSOS;activo;NO;
1.2.6.03.01;Agregados (No Ctes.);activo;SI;
1.2.6.03.02;Combustibles y Lubricantes (No Ctes.);activo;SI;
1.2.6.03.03;Pinturas (No Ctes.);activo;SI;
1.2.6.03.04;Repuestos (No Ctes.);activo;SI;
1.2.7;OTROS ACTIVOS NO CORRIENTES;activo;NO;
1.2.7.01;Llave de Negocio;activo;SI;
2;PASIVO;pasivo;NO;
2.1;PASIVO CORRIENTE;pasivo;NO;
2.1.1;DEUDAS COMERCIALES CORRIENTES;pasivo;NO;
2.1.1.01;PROVEEDORES;pasivo;NO;
2.1.1.01.01;Proveedores (Ctes.);pasivo;SI;proveedor
2.1.1.01.02;Certificados a Pagar (Ctes.);pasivo;SI;
2.1.1.02;ACREEDORES;pasivo;NO;
2.1.1.02.01;Acreedores Locales (Ctes.);pasivo;SI;
2.1.2;REMUNERACIONES Y CARGAS SOCIALES;pasivo;NO;
2.1.2.01;Sueldos y Jornales a pagar;pasivo;SI;
2.1.2.02;CARGAS SOCIALES A PAGAR;pasivo;NO;
2.1.2.02.01;DGI - SIJP;pasivo;SI;
2.1.2.02.02;F.931 a pagar;pasivo;SI;
2.1.2.02.03;Moratoria Decreto 493/95;pasivo;SI;
2.1.3;CARGAS FISCALES;pasivo;NO;
2.1.3.01;IMPUESTO AL VALOR AGREGADO;pasivo;NO;
2.1.3.01.01;IVA Debito Fiscal;pasivo;SI;
2.1.3.01.02;AFIP PLANES DE PAGO A PAGAR;pasivo;SI;
2.1.3.01.03;Salud publica a pagar;pasivo;SI;
2.1.3.01.05;IVA a Pagar;pasivo;SI;
2.1.3.02;INGRESOS BRUTOS;pasivo;NO;
2.1.3.02.01;Impuesto a los Ingresos Brutos a Pagar;pasivo;SI;
2.1.3.02.02;Impuestos a los Ingresos brutos Cordoba a pagar;pasivo;SI;
2.1.3.02.10;Ingresos Brutos a pagar Buenos Aires;pasivo;SI;
2.1.3.02.11;Ingresos Brutos Entre Rios a pagar;pasivo;SI;
2.1.3.02.12;Ingresos Brutos la pampa a pagar;pasivo;SI;
2.1.3.02.13;Ingresos Brutos Cordoba a pagar;pasivo;SI;
2.1.3.03;IMPUESTO A LAS GANANCIAS;pasivo;NO;
2.1.3.03.01;Imp. Ganancia Minima Presunta a Pagar;pasivo;SI;
2.1.3.03.02;Impuesto a las Ganancias a Pagar;pasivo;SI;
2.1.3.03.03;Pasivo por Impuesto Diferido;pasivo;SI;
2.1.3.03.10;CHEQUE A PAGAR;pasivo;SI;
2.1.4;DEUDAS FINANCIERAS;pasivo;NO;
2.1.4.01;Préstamo Banco de la Nación Arg. (Cte.);pasivo;SI;
2.1.4.02;Tem a pagar;pasivo;SI;
2.1.4.03;Pyme nacion a Pagar;pasivo;SI;
2.1.4.04;TARJETA VISA A PAGAR;pasivo;SI;
